Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,table_1_flag,Geocoded_City1,Geocoded_City2
2024,3,31453,32211,"Houston, TX","Las Vegas, NV",1235,2397,213.48,WN,0.3585,213.81,NK,0.2390,118.32,-1,,
2024,3,31703,30852,"New York City, NY (Metropolitan Area)","Washington, DC (Metropolitan Area)",234,2388,216.43,DL,0.3531,203.66,DL,0.3531,203.66,-1,,
2024,3,30397,34100,"Atlanta, GA (Metropolitan Area)","Philadelphia, PA",666,2364,171.15,DL,0.4825,203.79,F9,0.1822,99.91,-1,,
2024,3,32467,34100,"Miami, FL (Metropolitan Area)","Philadelphia, PA",1013,2356,174.27,AA,0.5320,233.86,NK,0.2880,93.81,-1,,
2024,3,32211,30852,"Las Vegas, NV","Washington, DC (Metropolitan Area)",2106,2353,302.09,WN,0.3390,301.77,NK,0.1766,143.16,-1,,
2024,3,32575,31650,"Los Angeles, CA (Metropolitan Area)","Minneapolis/St. Paul, MN",1535,2348,246.95,DL,0.5473,305.35,SY,0.3210,142.84,-1,,
2024,3,32575,30693,"Los Angeles, CA (Metropolitan Area)","Nashville, TN",1797,2300,266.27,WN,0.4196,262.26,WN,0.4196,262.26,-1,,
2024,3,31650,30852,"Minneapolis/St. Paul, MN","Washington, DC (Metropolitan Area)",936,2287,205.04,DL,0.5178,237.29,SY,0.1680,102.38,-1,,
2024,3,30194,30466,"Dallas/Fort Worth, TX","Phoenix, AZ",879,2272,206.76,AA,0.4860,244.67,WN,0.3920,186.04,-1,,
2024,3,31295,32575,"Detroit, MI","Los Angeles, CA (Metropolitan Area)",1979,2267,309.09,DL,0.5211,415.31,NK,0.3398,138.86,-1,,
2024,3,30397,31454,"Atlanta, GA (Metropolitan Area)","Orlando, FL",404,2196,176.89,DL,0.5536,215.08,F9,0.1581,101.51,-1,,
2024,3,30397,30325,"Atlanta, GA (Metropolitan Area)","Denver, CO",1199,2196,222.58,DL,0.4477,266.63,F9,0.1153,120.21,-1,,
2024,3,30721,33195,"Boston, MA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",1204,2189,188.95,B6,0.4432,168.45,B6,0.4432,168.45,-1,,
2024,3,30325,33570,"Denver, CO","San Diego, CA",853,2189,180.00,WN,0.4169,189.04,F9,0.2067,106.11,-1,,
2024,3,32575,34100,"Los Angeles, CA (Metropolitan Area)","Philadelphia, PA",2402,2169,317.80,AA,0.6929,353.38,NK,0.1435,152.85,-1,,
