DATA_REF_NO,SAMPLE_REF_NO,PROJECT,WATERSHED,SITE_TYPE,SAMPLE_SITE_NO,SITE_NAME,LAT_DD_WGS84,LON_DD_WGS84,SAMPLE_DATE,TIME_NULL,collecting_group,SAMPLE_ID,MEDIUM,DEPTH_IN_METERS,PARAM_TYPE,PARAMETER,QC_TYPE,QUALIFIER,RESULT,UNIT,QC_FLAG,METHOD,FILTER
2999247,593825,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,11/08/2023 09:50:00 AM,N,WRE,35-Barton Spg,Ground Water,,Alkalinity/Hardness/pH,PH,,,6.92,Standard units,,In-Situ Aqua Troll,Total
2999228,593825,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,11/08/2023 09:50:00 AM,N,WRE,35-Barton Spg,Ground Water,,Conventionals,WATER TEMPERATURE,,,21.91,Deg. Celsius,,In-Situ Aqua Troll,Total
2993200,593357,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,10/11/2023 11:15:00 AM,N,WRE,35-Barton Spg,Ground Water,,Oxygen,DISSOLVED OXYGEN,,,4.17,MG/L,,In-Situ Aqua Troll,Dissolved
2993204,593357,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,10/11/2023 11:15:00 AM,N,WRE,35-Barton Spg,Ground Water,,Alkalinity/Hardness/pH,PH,,,7.1,Standard units,,In-Situ Aqua Troll,Total
2993202,593357,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,10/11/2023 11:15:00 AM,N,WRE,35-Barton Spg,Ground Water,,Conventionals,WATER TEMPERATURE,,,21.9,Deg. Celsius,,In-Situ Aqua Troll,Total
2989978,593128,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,09/06/2023 12:30:00 PM,N,WRE,35-Barton Spg,Ground Water,,Conventionals,WATER TEMPERATURE,,,22.2,Deg. Celsius,,In-Situ Aqua Troll,Total
2989971,593128,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,09/06/2023 12:30:00 PM,N,WRE,35-Barton Spg,Ground Water,,Oxygen,DISSOLVED OXYGEN,,,4.27,MG/L,,In-Situ Aqua Troll,Dissolved
2989943,593128,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,09/06/2023 12:30:00 PM,N,WRE,35-Barton Spg,Ground Water,,Alkalinity/Hardness/pH,PH,,,7.06,Standard units,,In-Situ Aqua Troll,Total
2984881,592847,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,08/09/2023 09:50:00 AM,N,WRE,35-Barton Spg,Ground Water,,Alkalinity/Hardness/pH,PH,,,7.13,Standard units,,In-Situ Aqua Troll,Total
2984877,592847,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,08/09/2023 09:50:00 AM,N,WRE,35-Barton Spg,Ground Water,,Oxygen,DISSOLVED OXYGEN,,,4.34,MG/L,,In-Situ Aqua Troll,Dissolved
2984879,592847,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,08/09/2023 09:50:00 AM,N,WRE,35-Barton Spg,Ground Water,,Conventionals,WATER TEMPERATURE,,,22.11,Deg. Celsius,,In-Situ Aqua Troll,Total
2983726,592662,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,07/12/2023 08:10:00 AM,N,WRE,35-Barton Spg,Ground Water,,Alkalinity/Hardness/pH,PH,,,7.16,Standard units,,In-Situ Aqua Troll,Total
2983674,592662,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,07/12/2023 08:10:00 AM,N,WRE,35-Barton Spg,Ground Water,,Oxygen,DISSOLVED OXYGEN,,,4.66,MG/L,,In-Situ Aqua Troll,Dissolved
2983819,592662,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,07/12/2023 08:10:00 AM,N,WRE,35-Barton Spg,Ground Water,,Conventionals,WATER TEMPERATURE,,,21.9,Deg. Celsius,,In-Situ Aqua Troll,Total
2982295,592476,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,06/15/2023 10:15:00 AM,N,WRE,35-Barton Spg,Ground Water,,Alkalinity/Hardness/pH,PH,,,7.07,Standard units,,In-Situ Aqua Troll,Total
